Organism,Domain,Pathogenicity,Respiration,Environment
Rhodotorula mucilaginosa,Eukarya,Pathogenic,Aerobic,food
Lactobacillus mesenteroides,Bacteria,Opportunistic,Facultative,dairy products
Clonostachys rosea,Eukarya,Opportunistic,Aerobic,"soil, plants"
Lactobacillus acidophilus,Bacteria,Non-Pathogenic,Anaerobic,human GI
Irpex lacteus,Eukarya,Opportunistic,Aerobic,"plants, rotting woods, soil"
Rhodococcus erythropolis,Bacteria,Non-Pathogenic,Aerobic,"water, soil"
Bacillus licheniformis,Bacteria,Opportunistic,Facultative,"soil,bird feathers"
Rhizopus and Aspergillus strains,Eukarya,Pathogenic,Aerobic,"Soil, decaying logs/trees"
Lactobcillus brevis,Bacteria,Non-Pathogenic,Anaerobic,"dairy, plants, meat, GI of humans/rats"
Saccharomyces cerevisiae,Eukarya,Opportunistic,Facultative,"fruits, sugar environments, soil, plants, trees, insects, humans"
Lactobacillus pentosus,Bacteria,Non-Pathogenic,Anaerobic,"dairy, plants, meat, GI tract"
Gliocladium roseum,Eukarya,Non-Pathogenic,Aerobic,decaying vegetation
